Content ID,언어,파일 경로,원래 등급,재평가 등급,등급 변경 사유,D1 잔존,D2 잔존,D3 잔존,D4 잔존,D5 잔존,D6 잔존,본문 재검수 필요 여부,비고
alpha-lipoic-acid-nerve,en,blog/alpha-lipoic-acid-nerve/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
alpha-lipoic-acid,en,blog/alpha-lipoic-acid/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
autonomic-dysfunction-symptoms,en,blog/autonomic-dysfunction-symptoms/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
brain-fog-causes,en,blog/brain-fog-causes/index.html,A,A,이번 재평가 대상(D1=Y 46건)에 포함되지 않음 — 원 등급 유지.,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,N,
brain-fog-neuroscience,en,blog/brain-fog-neuroscience/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
brain-nutrition,en,blog/brain-nutrition/index.html,B,B,"이번 재평가 대상은 아니나(원 등급 B, CTA 없음), rTG/포스파티딜세린/브레인포그/파킨슨 클러스터 전수 점검 지시에 따라 본문 재확인함 — FDA 규제 claim 인용 또는 'rational adjunct strategy' 등 적절히 헤지된 서술로, 독립적 과장 없음 확인. 원 등급 B 유지 권고.",해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,"N(확인 완료, 이상 없음)",
dementia-modifiable-risk-factors,en,blog/dementia-modifiable-risk-factors/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
dementia-preclinical-stage,en,blog/dementia-preclinical-stage/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
foods-nerve-health,en,blog/foods-nerve-health/index.html,D,B,"CTA 블록(제품명·출시예정·curcumin/Aflapin/NF-κB/5-LOX 광고성 문구 포함) 완전 제거 확인. 본문 재검토 결과 독립적인 의료·과학적 과장 없음(FDA/MFDS 등 실제 규제기관 인정 문구를 적절히 인용하거나, Dyerberg et al. 2010 등 구체적 연구를 인용하는 방식으로 이미 적절히 헤지됨). 잔존 이슈는 저자명(EN만 해당)·의료검수자/검토일 누락(D5)과 hreflang·구조화 데이터 부재(D6)뿐 — CTA 제거로 D1/D2/D3/D4 실질적으로 해소.",N,N,N,N,Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상
herpes-zoster-neuralgia,en,blog/herpes-zoster-neuralgia/index.html,D,B,"2026-07-20 3개 페이지 정밀 검수 후 본문 잔존 문장 ""This mechanistic complementarity is the rationale for their co-formulation."" 삭제 완료(문장만 제거, 앞 문장의 커큐민/애플라핀 기전 설명은 원문 그대로 보존). 브랜드명 없이도 기전→제품 근거 비약으로 남아있던 D3 위험이 해소됨.",N,N(브랜드명 없음),N (2026-07-20 문장 삭제로 해소),N(브랜드명 없음),Y(저자명 불일치),Y(hreflang·구조화 데이터 없음),N,CTA 제거 46건 대상 / 2026-07-20 잔존 문장 삭제 완료
