파일 경로,URL,언어,화면상 저자 표기,meta author,JSON-LD author,의료 검수자 표기,reviewedBy 또는 medicalReviewer,게시일,수정일,검토일,현재 표기 문제,권장 표준 표기,실제 검수 이력 확인 필요 여부,수정 위험도,예상 수정 파일
blog/alpha-lipoic-acid-nerve/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"September 17, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/alpha-lipoic-acid/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"September 17, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/autonomic-dysfunction-symptoms/index.html,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 15, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/brain-fog-causes/index.html,https://nervlocklab.com/blog/brain-fog-causes/,en,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/brain-fog-causes/index.html
blog/brain-fog-neuroscience/index.html,https://nervlocklab.com/blog/brain-fog-neuroscience/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"June 10, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/brain-nutrition/index.html,https://nervlocklab.com/blog/brain-nutrition/,en,"article-meta=Jeehyun Ham, M.D.; author-card=Jeehyun Ham, M.D.; sig-block=Jeehyun Ham, M.D.",,Jeehyun Ham,"Jeehyun Ham, M.D.",Jeehyun Ham,2026-07-18,2026-07-18,2026-07-18,없음(이미 표준 일치),변경 불필요,Y,해당 없음(이미 표준),blog/brain-nutrition/index.html
blog/dementia-modifiable-risk-factors/index.html,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"July 3, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/dementia-preclinical-stage/index.html,https://nervlocklab.com/blog/dementia-preclinical-stage/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"July 1, 2026",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/foods-nerve-health/index.html,https://nervlocklab.com/blog/foods-nerve-health/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"August 6, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
blog/herpes-zoster-neuralgia/index.html,https://nervlocklab.com/blog/herpes-zoster-neuralgia/,en,"Jeehyun Ham, M.D. (byline/author-card/sig-block 전부 통일)",,,,,"October 28, 2024",,,"해결됨(2026-07-20) — Dr. Claire Ham/Claire Ham 전량 제거, Jeehyun Ham, M.D.로 통일","author-card, sig-block의 'Dr. Claire Ham (Jeehyun Ham, M.D.)' 계열을 'Jeehyun Ham, M.D.'로 통일",N/A(검수자 필드 없음),낮음(기계적 문자열 치환 가능),완료
