Content ID,언어,제목,URL,파일 경로,현재 등급,D1,D2,D3,D4,D5,D6,실제 제품 CTA 여부,제품명,CTA 정확한 문구,CTA 위치,질환 또는 증상명,위험 문구,권장 조치,수정 우선순위,인간 결정 필요 여부,재분류 가능성
alpha-lipoic-acid,en,Alpha-Lipoic Acid and Neural Health: The Evidence | NervLock,https://nervlocklab.com/blog/alpha-lipoic-acid/,blog/alpha-lipoic-acid/index.html,D,Y,N,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",(일반 영양/성분 교육),Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)","2순위 (성분·영양 교육, 질환명 미포함)",Y,N (D1 제품 CTA 존재로 재분류 불가)
alpha-lipoic-acid-nerve,en,"Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application | NervLock",https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,blog/alpha-lipoic-acid-nerve/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,"Support Your Neural Health with NervLock Nerve Care | R-alpha-lipoic acid included among six evidence-based support nutrients, alongside curcumin + Aflapin® dual-pathway core design. / NervLock's first product is launching soon. | 버튼: Get Launch Notification","author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,"R-alpha-lipoic acid included among six evidence-based support nutrients, alongside curcumin + Aflapin® dual-pathway core design. / NervLock's first product is launching soon.","CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
autonomic-dysfunction-symptoms,en,When the Autonomic Nervous System Fails: Dysautonomia Signs & Symptoms | NervLock,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,blog/autonomic-dysfunction-symptoms/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",자율신경,Formulated by a neurologist with curcumin + Aflapin® — the two most evidence-backed ingredients for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
brain-fog-neuroscience,en,Brain Fog: Neurobiological Mechanisms and Evidence-Based Nutritional Support | NervLock,https://nervlocklab.com/blog/brain-fog-neuroscience/,blog/brain-fog-neuroscience/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway modulation for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",브레인포그/집중력,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway modulation for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
dementia-modifiable-risk-factors,en,Modifiable Risk Factors for Dementia: What the Lancet Commission Evidence Tells Us | NervLock,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,blog/dementia-modifiable-risk-factors/index.html,D,Y,Y,Y,Y,Y,Y,Y,Brain Energy,Start Your Brain Health Routine with NervLock Brain Energy | Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",치매,Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
dementia-preclinical-stage,en,Dementia Doesn't Arrive Suddenly: The Decade-Long Neurobiological Cascade Before Diagnosis | NervLock,https://nervlocklab.com/blog/dementia-preclinical-stage/,blog/dementia-preclinical-stage/index.html,D,Y,Y,Y,Y,Y,Y,Y,Brain Energy,Start Your Brain Health Routine with NervLock Brain Energy | Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",치매,Formulated by a neurologist with phosphatidylserine + rTG Omega-3 — core ingredients your brain needs. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
foods-nerve-health,en,Foods and Peripheral Nerve Health: What a Neurologist Looks at on Your Plate | NervLock,https://nervlocklab.com/blog/foods-nerve-health/,blog/foods-nerve-health/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,"Support Your Neural Health with NervLock Nerve Care | Curcumin + Aflapin® — dual NF-κB and 5-LOX pathway modulation, formulated for nerve health by a neurologist. / NervLock's first product is launching soon. | 버튼: Get Launch Notification","author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,"Curcumin + Aflapin® — dual NF-κB and 5-LOX pathway modulation, formulated for nerve health by a neurologist. / NervLock's first product is launching soon.","CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
herpes-zoster-neuralgia,en,Post-Herpetic Neuralgia: Why Pain Persists After Shingles | NervLock,https://nervlocklab.com/blog/herpes-zoster-neuralgia/,blog/herpes-zoster-neuralgia/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통; 통증,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
homocysteine-dementia-b-vitamins,en,"Homocysteine, Brain Atrophy, and B Vitamins: The Neurological Evidence | NervLock",https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,blog/homocysteine-dementia-b-vitamins/index.html,D,Y,Y,Y,Y,Y,Y,Y,Brain Energy,"Start Your Brain Health Routine with NervLock Brain Energy | Includes B12, folate, and B6 to support homocysteine metabolism. / NervLock's first product is launching soon. | 버튼: Get Launch Notification","author-card 직후, related 섹션 직전 (.cta-banner 블록)",치매,"Includes B12, folate, and B6 to support homocysteine metabolism. / NervLock's first product is launching soon.","CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
nerve-health-foods,en,Diet and Neural Health: 5 Foods That Harm Your Nerves | NervLock,https://nervlocklab.com/blog/nerve-health-foods/,blog/nerve-health-foods/index.html,D,Y,Y,Y,Y,Y,Y,Y,NervLock Nerve Care/너브케어,Support Your Neural Health with NervLock Nerve Care | Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon. | 버튼: Get Launch Notification,"author-card 직후, related 섹션 직전 (.cta-banner 블록)",말초신경/신경통,Formulated by a neurologist with curcumin + Aflapin® — dual NF-κB and 5-LOX pathway coverage for neural inflammatory balance. / NervLock's first product is launching soon.,"CTA 배너(.cta-banner) 제거 또는 보류 — 제품명(Nerve Care/Brain Energy) 확정 전까지 재게시 금지 / 질환·증상 교육 본문과 제품 홍보 분리 배치(재도입 시) / 저자명을 Jeehyun Ham, M.D.로 통일 / 의료 검수자·검토일 필드 보완(신형 템플릿 기준) / hreflang·구조화 데이터는 제품명 이슈 해결 후 별도 진행(D6)",1순위 (질환·증상명 직접 연결),Y,N (D1 제품 CTA 존재로 재분류 불가)
