파일 경로,URL,언어,canonical 존재 여부,canonical 값,canonical 문제,hreflang 존재 여부,hreflang 값(ko/en/x-default),hreflang 문제,JSON-LD 존재 여부,JSON-LD 유형,JSON-LD 문법 유효성,JSON-LD 누락 필드,BreadcrumbList 존재 여부,sitemap 등재 여부,sitemap 불일치 내용,중복·유사 URL 여부,분류(T1~T5),권장 조치
blog/alpha-lipoic-acid-nerve/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,en,Y,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(alpha-lipoic-acid vs -nerve),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/alpha-lipoic-acid/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid/,en,Y,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(alpha-lipoic-acid vs -nerve),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/autonomic-dysfunction-symptoms/index.html,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,en,Y,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/brain-fog-causes/index.html,https://nervlocklab.com/blog/brain-fog-causes/,en,Y,https://nervlocklab.com/blog/brain-fog-causes/,,Y,ko=https://nervlocklab.com/blog/브레인포그-원인/; en=https://nervlocklab.com/blog/brain-fog-causes/; x-default=https://nervlocklab.com/blog/브레인포그-원인/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/brain-fog-neuroscience/index.html,https://nervlocklab.com/blog/brain-fog-neuroscience/,en,Y,https://nervlocklab.com/blog/brain-fog-neuroscience/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/brain-nutrition/index.html,https://nervlocklab.com/blog/brain-nutrition/,en,Y,https://nervlocklab.com/blog/brain-nutrition/,,Y,ko=https://nervlocklab.com/blog/뇌-영양/; en=https://nervlocklab.com/blog/brain-nutrition/; x-default=https://nervlocklab.com/blog/뇌-영양/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/dementia-modifiable-risk-factors/index.html,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,en,Y,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/dementia-preclinical-stage/index.html,https://nervlocklab.com/blog/dementia-preclinical-stage/,en,Y,https://nervlocklab.com/blog/dementia-preclinical-stage/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/foods-nerve-health/index.html,https://nervlocklab.com/blog/foods-nerve-health/,en,Y,https://nervlocklab.com/blog/foods-nerve-health/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/foods-nerve-health/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(nerve-health-foods vs foods-nerve-health),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/herpes-zoster-neuralgia/index.html,https://nervlocklab.com/blog/herpes-zoster-neuralgia/,en,Y,https://nervlocklab.com/blog/postherpetic-neuralgia/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/postherpetic-neuralgia/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(herpes-zoster vs postherpetic),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/homocysteine-dementia-b-vitamins/index.html,https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,en,Y,https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/index.html,https://nervlocklab.com/blog/,ko,Y,https://nervlocklab.com/blog/,,Y,ko=https://nervlocklab.com/blog/,"ko만 존재, en/x-default 없음",N,,Y,,N,Y,,,-,조치 불필요
blog/levodopa-long-term-misconceptions/index.html,https://nervlocklab.com/blog/levodopa-long-term-misconceptions/,en,Y,https://nervlocklab.com/blog/levodopa-long-term-misconceptions/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/memory-loss-and-dementia/index.html,https://nervlocklab.com/blog/memory-loss-and-dementia/,en,Y,https://nervlocklab.com/blog/memory-loss-and-dementia/,,Y,ko=https://nervlocklab.com/blog/기억력-치매-차이/; en=https://nervlocklab.com/blog/memory-loss-and-dementia/; x-default=https://nervlocklab.com/blog/기억력-치매-차이/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/nerve-health-foods/index.html,https://nervlocklab.com/blog/nerve-health-foods/,en,Y,https://nervlocklab.com/blog/foods-nerve-health/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/foods-nerve-health/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(nerve-health-foods vs foods-nerve-health),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/nocturnal-nerve-discomfort/index.html,https://nervlocklab.com/blog/nocturnal-nerve-discomfort/,en,Y,https://nervlocklab.com/blog/nocturnal-nerve-discomfort/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/index.html,https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/,en,Y,https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/,,Y,ko=https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/; en=https://nervlocklab.com/blog/palpitations-dizziness-digestive-symptoms-autonomic-nervous-system/; x-default=https://nervlocklab.com/blog/두근거림-어지럼-소화불편-자율신경/,,Y,"Article, BreadcrumbList",Y,,Y,Y,,,-,조치 불필요
blog/parkinson-caregiver-guide/index.html,https://nervlocklab.com/blog/parkinson-caregiver-guide/,en,Y,https://nervlocklab.com/blog/parkinson-caregiver-guide/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-constipation/index.html,https://nervlocklab.com/blog/parkinson-constipation/,en,Y,https://nervlocklab.com/blog/parkinson-constipation/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-dopamine-neuroinflammation/index.html,https://nervlocklab.com/blog/parkinson-dopamine-neuroinflammation/,en,Y,https://nervlocklab.com/blog/parkinson-dopamine-neuroinflammation/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-dyskinesia/index.html,https://nervlocklab.com/blog/parkinson-dyskinesia/,en,Y,https://nervlocklab.com/blog/parkinson-dyskinesia/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-early-signs/index.html,https://nervlocklab.com/blog/parkinson-early-signs/,en,Y,https://nervlocklab.com/blog/parkinson-early-signs/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-exercise-therapy/index.html,https://nervlocklab.com/blog/parkinson-exercise-therapy/,en,Y,https://nervlocklab.com/blog/parkinson-exercise-therapy/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-genetics/index.html,https://nervlocklab.com/blog/parkinson-genetics/,en,Y,https://nervlocklab.com/blog/parkinson-genetics/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-glutathione/index.html,https://nervlocklab.com/blog/parkinson-glutathione/,en,Y,https://nervlocklab.com/blog/parkinson-glutathione/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-medication-dosage/index.html,https://nervlocklab.com/blog/parkinson-medication-dosage/,en,Y,https://nervlocklab.com/blog/parkinson-medication-dosage/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-medication-management/index.html,https://nervlocklab.com/blog/parkinson-medication-management/,en,Y,https://nervlocklab.com/blog/parkinson-medication-management/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-pain-management/index.html,https://nervlocklab.com/blog/parkinson-pain-management/,en,Y,https://nervlocklab.com/blog/parkinson-pain-management/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-plus-syndromes/index.html,https://nervlocklab.com/blog/parkinson-plus-syndromes/,en,Y,https://nervlocklab.com/blog/parkinson-plus-syndromes/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinson-rem-sleep-disorder/index.html,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,en,Y,https://nervlocklab.com/blog/parkinson-rem-sleep-disorder/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/parkinsonism-differential-causes/index.html,https://nervlocklab.com/blog/parkinsonism-differential-causes/,en,Y,https://nervlocklab.com/blog/parkinsonism-differential-causes/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/peripheral-neuropathy/index.html,https://nervlocklab.com/blog/peripheral-neuropathy/,en,Y,https://nervlocklab.com/blog/peripheral-neuropathy/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/phosphatidylserine-memory/index.html,https://nervlocklab.com/blog/phosphatidylserine-memory/,en,Y,https://nervlocklab.com/blog/phosphatidylserine-memory/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/postherpetic-neuralgia/index.html,https://nervlocklab.com/blog/postherpetic-neuralgia/,en,Y,https://nervlocklab.com/blog/postherpetic-neuralgia/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/postherpetic-neuralgia/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(herpes-zoster vs postherpetic),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/rTG-오메가3-차이/index.html,https://nervlocklab.com/blog/rTG-오메가3-차이/,ko,N,,canonical 태그 없음,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T1, T2, T3",자기참조 canonical 태그 추가 / hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/rtg-omega3-bioavailability/index.html,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,en,Y,https://nervlocklab.com/blog/rtg-omega3-bioavailability/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/sleep-memory-focus/index.html,https://nervlocklab.com/blog/sleep-memory-focus/,en,Y,https://nervlocklab.com/blog/sleep-memory-focus/,,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,,"T2, T3",hreflang 3종 추가(KR/EN 대응 확인 후) / JSON-LD Article+BreadcrumbList 추가
blog/vitamin-b12-methylcobalamin/index.html,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,en,Y,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(vitamin-b12-nerve vs -methylcobalamin),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
blog/vitamin-b12-nerve/index.html,https://nervlocklab.com/blog/vitamin-b12-nerve/,en,Y,https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/,canonical이 자기 자신이 아닌 다른 파일(https://nervlocklab.com/blog/vitamin-b12-methylcobalamin/)을 가리킴 - 중복 콘텐츠 클러스터,N,,hreflang 없음,N,,Y,JSON-LD 전체 없음,N,Y,,T5-dup(vitamin-b12-nerve vs -methylcobalamin),"T5, T2, T3",병합/리다이렉트/유지 여부 인간 결정 필요
