content_id,file_path,url,language,page_type,title,h1,meta_title,meta_description,current_category_tag,category_label_drift,author_display,author_standard_mismatch,medical_reviewer,published_date,reviewed_date,canonical,hreflang,has_hreflang,structured_data_types,has_structured_data,reference_count,internal_links,external_links,has_product_cta,product_cta_type,mechanism_overreach_without_cta,keyword_hits,risk_grade
alpha-lipoic-acid-nerve,blog/alpha-lipoic-acid-nerve/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,en,Blog,"Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application | NervLock","Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application","Alpha-Lipoic Acid and Peripheral Nerve Health: Mechanisms, Evidence, and Clinical Application | NervLock",,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,,N,,N,0,2,0,N,,N,"{""NF-κB"": 4}",B
alpha-lipoic-acid,blog/alpha-lipoic-acid/index.html,https://nervlocklab.com/blog/alpha-lipoic-acid/,en,Blog,Alpha-Lipoic Acid and Neural Health: The Evidence | NervLock,Alpha-Lipoic Acid and Neural Health: The Evidence,Alpha-Lipoic Acid and Neural Health: The Evidence | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/alpha-lipoic-acid-nerve/,,N,,N,0,2,0,N,,N,,B
autonomic-dysfunction-symptoms,blog/autonomic-dysfunction-symptoms/index.html,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,en,Blog,When the Autonomic Nervous System Fails: Dysautonomia Signs & Symptoms | NervLock,When the Autonomic Nervous System Fails: Recognizing the Clinical Spectrum of Dysautonomia,When the Autonomic Nervous System Fails: Dysautonomia Signs & Symptoms | NervLock,,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/autonomic-dysfunction-symptoms/,,N,,N,0,2,0,N,,N,,B
brain-fog-causes,blog/brain-fog-causes/index.html,https://nervlocklab.com/blog/brain-fog-causes/,en,Blog,What Is Brain Fog? Causes and When to Seek Care | NervLock,What Is Brain Fog? Possible Causes and When to Seek Medical Care,What Is Brain Fog? Causes and When to Seek Care | NervLock,"Brain fog is not a formal diagnosis. Learn how sleep, stress, mood, long COVID, menopause, medications, and other factors may contribute—and when symptoms need medical care.",Brain Health &amp; Lifestyle,N,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/brain-fog-causes/,ko->https://nervlocklab.com/blog/브레인포그-원인/; en->https://nervlocklab.com/blog/brain-fog-causes/; x-default->https://nervlocklab.com/blog/브레인포그-원인/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,14,5,14,N,,N,,A
brain-fog-neuroscience,blog/brain-fog-neuroscience/index.html,https://nervlocklab.com/blog/brain-fog-neuroscience/,en,Blog,Brain Fog: Neurobiological Mechanisms and Evidence-Based Nutritional Support | NervLock,Brain Fog: Neurobiological Mechanisms and Evidence-Based Nutritional Support,Brain Fog: Neurobiological Mechanisms and Evidence-Based Nutritional Support | NervLock,,Brain Health &amp; Lifestyle,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/brain-fog-neuroscience/,,N,,N,0,2,0,N,,N,,B
brain-nutrition,blog/brain-nutrition/index.html,https://nervlocklab.com/blog/brain-nutrition/,en,Blog,"Nutrition for Brain Health: Diet, Omega-3s and Vitamins | NervLock",Nutrition for Brain Health: What the Evidence Supports—and What Remains Uncertain,"Nutrition for Brain Health: Diet, Omega-3s and Vitamins | NervLock","Learn what the evidence says about diet and brain health, including omega-3s, vitamin B12, B vitamins, vitamin D, iron, thiamine, choline, multivitamins, nutrient deficiencies, and supplement limitations.",Nutrition &amp; Metabolic Health,Y,"Jeehyun Ham, M.D.",N,,,,https://nervlocklab.com/blog/brain-nutrition/,ko->https://nervlocklab.com/blog/뇌-영양/; en->https://nervlocklab.com/blog/brain-nutrition/; x-default->https://nervlocklab.com/blog/뇌-영양/,Y,"Article, BreadcrumbList, ListItem, Organization, Person, WebPage",Y,16,5,16,N,,Y,"{""curcumin"": 1}",B
dementia-modifiable-risk-factors,blog/dementia-modifiable-risk-factors/index.html,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,en,Blog,Modifiable Risk Factors for Dementia: What the Lancet Commission Evidence Tells Us | NervLock,Modifiable Risk Factors for Dementia What the Lancet Commission Evidence Tells Us,Modifiable Risk Factors for Dementia: What the Lancet Commission Evidence Tells Us | NervLock,,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/dementia-modifiable-risk-factors/,,N,,N,0,2,0,N,,N,,B
dementia-preclinical-stage,blog/dementia-preclinical-stage/index.html,https://nervlocklab.com/blog/dementia-preclinical-stage/,en,Blog,Dementia Doesn't Arrive Suddenly: The Decade-Long Neurobiological Cascade Before Diagnosis | NervLock,Dementia Doesn't Arrive Suddenly The Decade-Long Neurobiological Cascade Before Diagnosis,Dementia Doesn't Arrive Suddenly: The Decade-Long Neurobiological Cascade Before Diagnosis | NervLock,,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/dementia-preclinical-stage/,,N,,N,0,2,0,N,,N,,B
foods-nerve-health,blog/foods-nerve-health/index.html,https://nervlocklab.com/blog/foods-nerve-health/,en,Blog,Foods and Peripheral Nerve Health: What a Neurologist Looks at on Your Plate | NervLock,Foods and Peripheral Nerve Health: What a Neurologist Looks at on Your Plate,Foods and Peripheral Nerve Health: What a Neurologist Looks at on Your Plate | NervLock,,Nutrition &amp; Metabolism,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/foods-nerve-health/,,N,,N,0,2,0,N,,N,"{""curcumin"": 2, ""NF-κB"": 2, ""5-LOX"": 1}",B
herpes-zoster-neuralgia,blog/herpes-zoster-neuralgia/index.html,https://nervlocklab.com/blog/herpes-zoster-neuralgia/,en,Blog,Post-Herpetic Neuralgia: Why Pain Persists After Shingles | NervLock,Post-Herpetic Neuralgia: Why Pain Persists After Shingles,Post-Herpetic Neuralgia: Why Pain Persists After Shingles | NervLock,,Pain &amp; Autonomic Health,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/postherpetic-neuralgia/,,N,,N,0,2,0,N,,N,"{""curcumin"": 5, ""Aflapin"": 4, ""NF-κB"": 9, ""5-LOX"": 8}",B
homocysteine-dementia-b-vitamins,blog/homocysteine-dementia-b-vitamins/index.html,https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,en,Blog,"Homocysteine, Brain Atrophy, and B Vitamins: The Neurological Evidence | NervLock","Homocysteine, Brain Atrophy, and B Vitamins The Neurological Evidence","Homocysteine, Brain Atrophy, and B Vitamins: The Neurological Evidence | NervLock",,Neurological Symptoms &amp; Conditions,N,"Dr. Claire Ham (Jeehyun Ham, M.D.)",Y,,,,https://nervlocklab.com/blog/homocysteine-dementia-b-vitamins/,,N,,N,0,2,0,N,,N,,B
